Product_ID,Product_Name,Product_Price,Category,Brand,Origin,Brand_Origin
117075255,Thịt nạm trâu Sunrise Ấn Độ -1kg,116000,Thực Phẩm Tươi Sống/Thịt/Các Loại Thịt Khác,SUNRISE,Ấn Độ,-1
118760098,Sụn heo non 1kg,135000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
124639057,[Chỉ Giao HN] Tỏi Gà - 1kg,85000,Thực Phẩm Tươi Sống/Thịt/Thịt Gà,OEM,Việt Nam,-1
103046146,"HCM - Ba chỉ heo có da có xương sườn (500g) - Thích hợp với các món chiên, nướng, kho, rang,... - [Giao nhanh TPHCM]",69000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,TOPMEAL,Việt Nam,Việt Nam
120403584,Combo 42: 1kg Cá saba Nhật + 1kg Cốt lết heo cắt lát,279000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,-1
119064761,"Sụn bò Úc đông lạnh cắt miếng - 1,000Gr - Phát Đạt",111000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
53855578,[Chỉ Giao HCM] - Bò Xay (Bò Ăn Cỏ) - 200g,67600,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,Ozzy Fresh,Úc,Úc
126914535,Sụn Non Heo_1Kg,120000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Việt Nam,Bỉ
123150279,Bắp Bò Mỹ Cắt Mỏng,265000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,COOMEE,Mỹ,Việt Nam
123150270,Ba Rọi Heo Rừng Lai,185000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,COOMEE,Việt Nam,Việt Nam
123150267,Ba Rọi Bò Mỹ Cuộn Dùng Ăn Lẩu,265000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,COOMEE,Mỹ,Việt Nam
116155374,[Chỉ giao Hà Nội] Sườn sụn Heo Canada,195000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Canada,-1
123353167,Bắp bò - 1 kg,191000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Việt Nam,-1
115781160,Bắp Bò Úc Kilcoy - 1Kg,320000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
117028530,[ Chỉ giao HN]-Cật Heo 1kg,250000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Thực Phẩm Smart,Việt Nam,-1
125388401,Thịt ba rọi heo có da - Đông lạnh - Đóng gói hút chân không,135000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,TUANVINA,Nga,Việt Nam
117175520,[Chỉ giao HCM] Gầu Bò Mỹ Bào Kichi-Kichi 300gr,140000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,iCOOK,Việt Nam,Việt Nam
123150258,Cốt Lết Cắt Lát,159000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,COOMEE,Canada,Việt Nam
124915934,2 KG BA RỌI HEO RÚT SƯỜN,354000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,OEM,Nga,-1
116774795,Viên thả lẩu trứng cá hồi sao vàng gói 500g,149000,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Việt Nam,Việt Nam
124328549,[Chỉ giao HN] - NẠC VAI LỢN NHẬP KHẨU NGA-1KG,122000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,Miratorg,Nga,-1
105186483,[Chỉ giao HN] - Bắp bò Úc (Shin Shank AUS),134500,Thực Phẩm Tươi Sống/Thịt/Thịt Bò,OEM,Úc,-1
59306010,[Chỉ Giao HCM] - ÓC HEO HỮU CƠ FAU - 1 BỘ ÓC,100000,Thực Phẩm Tươi Sống/Thịt/Thịt Heo,FAU,Việt Nam,Việt Nam
